title,collected_date,published_date,tags,image_urls,urls,article_url
Trump anuncia perdão a ex-presidente de Honduras preso por narcotráfico,2026-05-18 18:00:38,,,[],[],https://www.cartacapital.com.br/mundo/trump-anuncia-perdao-a-ex-presidente-de-honduras-preso-por-narcotrafico/
EUA matam mais 14 pessoas em novo ataque contra embarcações no Pacífico,2026-05-18 18:00:40,,,[],"['https://www.cartacapital.com.br/mundo/eua-matam-mais-6-pessoas-em-novo-ataque-contra-embarcacoes-no-caribe/', 'https://www.cartacapital.com.br/mundo/bombardeiros-americanos-b-1b-sobrevoam-o-litoral-da-venezuela-aponta-rastreador-de-voos/', 'https://www.cartacapital.com.br/mundo/venezuela-suspende-acordo-com-trinidad-e-tobago-apos-exercicios-militares-com-eua/', 'https://www.cartacapital.com.br/mundo/estao-inventando-uma-guerra-diz-maduro-sobre-mobilizacao-militar-dos-eua/']",https://www.cartacapital.com.br/mundo/eua-matam-mais-14-pessoas-em-novo-ataque-contra-embarcacoes-no-pacifico/
EUA matam mais 6 pessoas em novo ataque contra embarcações no Caribe,2026-05-18 18:00:42,,,[],"['https://www.cartacapital.com.br/politica/flavio-bolsonaro-sugere-que-governo-trump-ataque-embarcacoes-na-costa-do-brasil/', 'https://www.cartacapital.com.br/mundo/colombia-pede-aos-eua-que-cessem-ataques-contra-embarcacoes/', 'https://www.cartacapital.com.br/mundo/colombia-acusa-eua-de-cometer-execucoes-extrajudiciais-em-aguas-internacionais/', 'https://www.cartacapital.com.br/mundo/apos-ameacas-dos-eua-maduro-pede-que-nao-haja-guerra-maluca/', 'https://www.cartacapital.com.br/mundo/como-a-cia-opera-na-america-latina/', 'https://www.cartacapital.com.br/opiniao/trump-e-a-operacao-condor/']",https://www.cartacapital.com.br/mundo/eua-matam-mais-6-pessoas-em-novo-ataque-contra-embarcacoes-no-caribe/
EUA atacam suposta lancha do narcotráfico perto da Venezuela; quatro morrem,2026-05-18 18:00:43,,,[],"['https://t.co/QpNPljFcGn', 'https://twitter.com/SecWar/status/1974150886084485503?ref_src=twsrc%5Etfw']",https://www.cartacapital.com.br/mundo/eua-atacam-suposta-lancha-do-narcotrafico-perto-da-venezuela-quatro-morrem/
Homem é morto pela polícia após esfaquear várias pessoas na França,2026-05-18 18:00:45,,,[],[],https://www.cartacapital.com.br/mundo/homem-e-morto-pela-policia-apos-esfaquear-varias-pessoas-na-franca/
Polícia Civil desarticula organização que dominava o tráfico nas ilhas e zona norte de Porto Alegre,2026-05-18 18:00:46,,,[],['https://www.cartacapital.com.br/sociedade/apos-tentativa-de-prisao-policia-do-rj-vai-indiciar-oruam-por-ligacao-com-o-comando-vermelho/'],https://www.cartacapital.com.br/cartaexpressa/policia-civil-desarticula-organizacao-que-dominava-o-trafico-nas-ilhas-e-zona-norte-de-porto-alegre/
Sean ‘Diddy’ Combs é absolvido das acusações de tráfico sexual e associação ilícita,2026-05-18 18:00:49,,,[],['https://www.cartacapital.com.br/tag/sean-diddy-combs/'],https://www.cartacapital.com.br/mundo/sean-diddy-combs-e-absolvido-das-acusacoes-de-trafico-sexual-e-associacao-ilicita/
Polícia desmantela rede de tráfico de cocaína entre Brasil e França,2026-05-18 18:00:50,,,[],[],https://www.cartacapital.com.br/mundo/policia-desmantela-rede-de-trafico-de-cocaina-entre-brasil-e-franca/
Nikolas rompe silêncio sobre a prisão do primo por tráfico e critica oposição,2026-05-18 18:00:52,,,[],"['https://www.cartacapital.com.br/tag/nikolas-ferreira/', 'https://www.cartacapital.com.br/politica/deputados-ironizam-nikolas-ferreira-apos-prisao-de-primo-por-trafico/']",https://www.cartacapital.com.br/cartaexpressa/nikolas-rompe-silencio-sobre-a-prisao-do-primo-por-trafico-e-critica-oposicao/
"Mais de 100 mil presos por tráfico de drogas poderiam ter pena reduzida, aponta o CNJ",2026-05-18 18:00:53,,,[],"['https://www.cartacapital.com.br/tag/cnj/', 'https://www.cartacapital.com.br/tag/trafico-de-drogas/', 'https://www.cartacapital.com.br/sociedade/menos-vagas-mais-detentos-o-que-os-dados-do-cnj-revelam-sobre-a-realidade-dos-presidios-brasileiros/#:~:text=Praticamente%20metade%20dos%20pres%C3%ADdios%20(48,da%20CartaCapital%20no%20seu%20WhatsApp!', 'https://www.planalto.gov.br/ccivil_03/_ato2004-2006/2006/lei/l11343.htm', 'https://www.cartacapital.com.br/tag/crime-organizado/', 'https://www.cartacapital.com.br/wp-content/uploads/2025/05/2025-05-05-boletim-trafico-privilegiado-final.pdf']",https://www.cartacapital.com.br/justica/mais-de-100-mil-presos-por-trafico-de-drogas-poderiam-ter-pena-reduzida-aponta-o-cnj/
