portal,url
cnn,https://www.cnnbrasil.com.br/nacional/suspeito-de-trafico-e-preso-com-r-58-mil-durante-operacao-policial-na-baixada-santista/
cnn,https://www.cnnbrasil.com.br/politica/advogado-condenado-por-grampear-moro-aciona-stf-apos-ser-espionado-pela-abin/
cnn,https://www.cnnbrasil.com.br/politica/descriminalizacao-de-drogas-para-consumo-proprio-deve-voltar-a-pauta-do-stf-em-2024/
cnn,https://www.cnnbrasil.com.br/internacional/russia-faz-operacao-em-estabelecimentos-lgbtqia-apos-justica-proibir-movimento/
cnn,https://www.cnnbrasil.com.br/nacional/pf-faz-operacao-contra-o-pcc-em-cidades-do-parana/
cnn,https://www.cnnbrasil.com.br/agro/policia-faz-operacao-contra-roubo-de-cargas-de-soja-no-parana/
cnn,https://www.cnnbrasil.com.br/nacional/tres-homens-sao-mortos-em-operacao-das-policias-civis-no-rj-e-de-goias/
cnn,https://www.cnnbrasil.com.br/nacional/bahia-mais-de-200-pessoas-morreram-em-confrontos-com-a-pm-desde-15-de-setembro/
cnn,https://www.cnnbrasil.com.br/nacional/policia-prende-17-suspeitos-de-trafico-de-drogas-na-cracolandia/
cnn,https://www.cnnbrasil.com.br/nacional/narcotrafico-e-crimes-ambientais-os-novos-e-velhos-desafios-da-amazonia-legal/
cnn,https://www.cnnbrasil.com.br/nacional/pf-prende-suspeitos-de-atrair-brasileiros-para-cometer-crimes-na-asia/
cnn,https://www.cnnbrasil.com.br/nacional/pf-prende-dois-suspeitos-de-abuso-sexual-infantojuvenil-no-interior-de-sp/
cnn,https://www.cnnbrasil.com.br/nacional/pf-prende-12-pessoas-em-operacao-contra-trafico-de-drogas-e-lavagem-de-dinheiro/
cnn,https://www.cnnbrasil.com.br/nacional/operacao-contra-faccao-criminosa-deixa-sete-mortos-em-sergipe/
cnn,https://www.cnnbrasil.com.br/nacional/dois-suspeitos-morrem-em-operacao-contra-faccao-acusada-de-matar-agente-na-bahia/
cnn,https://www.cnnbrasil.com.br/nacional/sem-vagas-em-abrigos-afegaos-voltam-a-acampar-no-aeroporto-de-guarulhos/
cnn,https://www.cnnbrasil.com.br/nacional/pf-faz-operacao-contra-suspeitos-de-matar-policial-federal-na-bahia/
cnn,https://www.cnnbrasil.com.br/politica/tebet-defende-fatiamento-de-ministerio-da-justica-e-diz-que-ha-orcamento-para-eventual-desmembramento-da-pasta/
cnn,https://www.cnnbrasil.com.br/politica/brasil-reduziu-desmatamento-em-10-meses-e-chega-a-cop-28-de-cabeca-erguida-diz-marina-a-cnn/
cnn,https://www.cnnbrasil.com.br/nacional/megaoperacao-contra-piramide-financeira-bloqueia-r-400-milhoes-de-alvos-da-pf/
cnn,https://www.cnnbrasil.com.br/nacional/homem-e-preso-com-60-mil-comprimidos-de-ecstasy-em-duque-de-caxias-rj/
cnn,https://www.cnnbrasil.com.br/nacional/operacao-policial-apura-presenca-de-faccoes-criminosas-no-consulado-de-portugal/
cnn,https://www.cnnbrasil.com.br/nacional/bahia-atinge-media-de-uma-morte-por-dia-em-tiroteios-no-mes-de-novembro/
cnn,https://www.cnnbrasil.com.br/nacional/tiroteio-deixa-um-morto-na-regiao-metropolitana-de-salvador/
cnn,https://www.cnnbrasil.com.br/politica/mpf-pede-que-paes-sancione-lei-que-proibe-homenagem-a-escravocratas-e-eugenistas-no-rio/
cnn,https://www.cnnbrasil.com.br/nacional/podcast-stf-reage-a-aprovacao-de-pec-que-limita-poderes-da-corte/
cnn,https://www.cnnbrasil.com.br/nacional/operacao-apreende-celulares-e-drogas-em-presidios-da-bahia-veja-fotos/
cnn,https://www.cnnbrasil.com.br/nacional/operacao-contra-piramide-financeira-prende-quatro-pessoas-no-rj/
cnn,https://www.cnnbrasil.com.br/nacional/trafico-internacional-pm-prende-grupo-que-engolia-drogas-para-viajar-a-europa/
cnn,https://www.cnnbrasil.com.br/esportes/futebol/prima-da-esposa-de-messi-e-assaltada-a-mao-armada-na-argentina/
cnn,https://www.cnnbrasil.com.br/nacional/interpol-investiga-se-brasileiro-desaparecido-na-europa-foi-vitima-de-trafico-de-pessoas/
cnn,https://www.cnnbrasil.com.br/politica/ccj-do-senado-adia-votacao-da-pec-das-drogas/
cnn,https://www.cnnbrasil.com.br/nacional/braco-direito-de-faccao-criminosa-e-comparsa-sao-mortos-pela-pm-na-bahia/
cnn,https://www.cnnbrasil.com.br/politica/receita-e-pf-investigam-doleiros-que-enviaram-r-4-bilhoes-para-fora-do-brasil/
cnn,https://www.cnnbrasil.com.br/politica/pec-das-drogas-pode-ser-votada-na-ccj-do-senado-nesta-quarta-22/
cnn,https://www.cnnbrasil.com.br/internacional/policia-faz-operacao-contra-trafico-de-pessoas-em-fazendas-em-portugal/
cnn,https://www.cnnbrasil.com.br/politica/avaliacao-negativa-do-governo-lula-aparece-acima-da-positiva-diz-pesquisa-atlas/
cnn,https://www.cnnbrasil.com.br/politica/pf-mira-em-quem-pediu-pix-para-dar-golpe-no-8-de-janeiro/
cnn,https://www.cnnbrasil.com.br/noticias/pf-e-prf-cumprem-57-mandados-em-megaoperacao-contra-trafico-internacional/
